EVT  20080512, 163434.532552,    5.786,  -11.938,    17.76,    39.50,   115.80,    0.000,     0.00,     6.57
EVT  20080514, 044431.895438,   10.699,   -9.355,    15.17,    32.24,   308.79,    0.000,     0.00,     4.13
EVT  20080512, 095442.816352,   -2.701,    0.182,    15.85,    33.39,   313.32,    0.000,     0.00,     4.52
EVT  20080516, 112245.239228,  -11.742,  -10.983,     5.26,    43.33,   127.42,    0.000,     0.00,     1.79
EVT  20080515, 105303.069565,   -6.420,    1.779,    51.59,    29.58,   233.14,    0.000,     0.00,    15.90
EVT  20080516, 214522.976607,    2.198,   -0.547,    14.20,    24.86,    24.40,    0.000,     0.00,     3.32
EVT  20080512, 041234.642641,    2.182,   -0.741,    11.25,    37.71,    35.83,    0.000,     0.00,     3.30
EVT  20080514, 072340.382546,   -3.567,   -5.353,    21.58,    12.27,   335.12,    0.000,     0.00,     5.17
EVT  20080516, 021745.548364,   -4.491,  -11.777,     5.57,    42.17,   153.69,    0.000,     0.00,     1.72
EVT  20080512, 210044.933312,   -3.380,    0.923,     9.82,    39.37,   207.26,    0.000,     0.00,     2.99
EVT  20080512, 012101.593631,   -9.253,   -9.284,    18.37,    32.22,   115.55,    0.000,     0.00,     5.31
EVT  20080515, 092311.637611,   -3.616,   -8.850,    57.00,    34.70,   210.08,    0.000,     0.00,    19.09
EVT  20080511, 183858.444755,    4.610,    6.096,     8.32,    37.63,   194.45,    0.000,     0.00,     2.23
EVT  20080511, 145407.893319,    3.466,  -12.181,     5.47,    43.72,   357.54,    0.000,     0.00,     1.87
EVT  20080513, 094254.875280,   -6.469,   -9.156,    23.45,    32.31,   355.17,    0.000,     0.00,     7.04
EVT  20080515, 095557.381053,    6.115,   11.343,     9.44,    16.09,   127.34,    0.000,     0.00,     1.91
EVT  20080515, 092704.849184,    2.560,   -5.811,    10.76,    17.30,   311.96,    0.000,     0.00,     2.17
EVT  20080517, 071950.059216,    4.324,   -0.908,     6.86,    40.36,    13.61,    0.000,     0.00,     2.05
EVT  20080513, 073841.462817,    3.747,   -7.240,    15.38,    28.06,   349.95,    0.000,     0.00,     3.95
EVT  20080513, 054316.347249,    9.948,   -8.722,    35.38,    25.33,    59.51,    0.000,     0.00,    10.31
EVT  20080514, 220827.549667,   -2.790,    1.729,    16.48,    40.91,   109.93,    0.000,     0.00,     6.13
EVT  20080515, 095044.069320,    6.248,  -16.746,    11.31,    21.16,    59.78,    0.000,     0.00,     2.38
EVT  20080513, 005409.469390,   -2.034,   -7.014,     5.53,    19.41,   355.94,    0.000,     0.00,     1.29
EVT  20080516, 201039.347067,    7.498,    0.207,     7.52,    29.40,   101.07,    0.000,     0.00,     1.65
EVT  20080511, 152347.752304,   10.142,   -2.635,    11.62,    25.04,    99.50,    0.000,     0.00,     2.53
EVT  20080515, 181046.531480,   -4.559,    5.432,    24.51,    43.88,   343.17,    0.000,     0.00,    10.77
EVT  20080516, 210430.298277,  -12.222,  -11.444,    10.14,    23.51,   285.49,    0.000,     0.00,     2.13
EVT  20080512, 105427.783660,   -3.952,   -2.636,    10.01,    38.33,   110.59,    0.000,     0.00,     2.94
EVT  20080513, 125212.867866,   -7.038,  -15.508,    11.07,    24.18,     2.53,    0.000,     0.00,     2.37
EVT  20080516, 154723.344672,   -9.549,  -11.834,     9.41,    27.92,   142.19,    0.000,     0.00,     2.05
EVT  20080517, 103129.783766,    4.298,   -1.820,    13.01,    19.52,   349.86,    0.000,     0.00,     2.71
EVT  20080517, 141810.819333,    4.577,  -13.842,     7.12,    35.15,   322.44,    0.000,     0.00,     1.74
EVT  20080511, 140556.752147,  -12.043,   -3.775,     6.91,    39.25,   208.64,    0.000,     0.00,     1.94
EVT  20080515, 093121.538618,    5.496,  -11.453,     7.62,    36.40,   124.38,    0.000,     0.00,     1.93
EVT  20080515, 115620.984446,    8.213,   -6.438,    10.24,    35.54,   251.20,    0.000,     0.00,     2.79
EVT  20080515, 043143.422007,    5.326,   -6.549,    15.46,    32.84,    39.86,    0.000,     0.00,     4.38
EVT  20080516, 013326.910895,   -2.455,    1.778,    10.48,    44.26,   241.50,    0.000,     0.00,     4.39
EVT  20080517, 080330.444969,    2.165,    7.305,    12.50,    30.35,    17.56,    0.000,     0.00,     3.03
EVT  20080513, 091611.604446,    2.921,  -11.744,    27.28,    28.59,    11.20,    0.000,     0.00,     7.80
EVT  20080514, 185058.236096,   -2.584,   -9.689,    44.35,    34.21,   167.61,    0.000,     0.00,    14.51
EVT  20080516, 070627.492668,   -9.298,   -6.108,    10.56,    40.69,   178.58,    0.000,     0.00,     3.50
EVT  20080517, 001038.276212,   -6.379,  -15.948,    12.03,    42.49,   165.47,    0.000,     0.00,     4.54
EVT  20080511, 180131.089510,    6.106,    0.851,    11.37,    28.12,    48.53,    0.000,     0.00,     2.61
EVT  20080512, 085839.160749,   -9.314,   -3.732,     6.27,    14.18,   270.29,    0.000,     0.00,     1.37
EVT  20080515, 201011.378407,    3.585,   -2.547,    50.25,    27.55,   298.72,    0.000,     0.00,    15.15
EVT  20080511, 153231.427099,    9.935,    0.714,    10.12,    43.85,   202.40,    0.000,     0.00,     3.91
EVT  20080512, 013257.265645,    6.051,   -0.748,     8.76,    33.93,   225.32,    0.000,     0.00,     2.12
EVT  20080512, 054417.099036,    3.035,    6.565,     9.75,    43.95,   321.28,    0.000,     0.00,     3.73
EVT  20080514, 022839.453122,   -7.813,   -7.532,     8.45,    27.27,    71.92,    0.000,     0.00,     1.82
EVT  20080512, 043711.307842,    3.846,   -8.357,     7.64,    28.75,    35.28,    0.000,     0.00,     1.62
EVT  20080515, 075347.455785,   -9.297,  -10.169,    30.93,    43.51,   249.49,    0.000,     0.00,    13.63
EVT  20080516, 224338.546853,   -6.703,    1.646,    11.34,    23.95,   252.84,    0.000,     0.00,     2.45
EVT  20080517, 094350.120374,    8.240,    1.807,    12.39,    30.91,    35.80,    0.000,     0.00,     2.99
EVT  20080512, 062017.652638,    7.361,    1.208,     4.09,    30.90,    99.62,    0.000,     0.00,     1.02
EVT  20080512, 152957.872049,    1.926,   10.005,    26.54,    13.87,    30.77,    0.000,     0.00,     6.91
EVT  20080517, 100418.416103,    3.245,  -12.098,    10.78,    29.06,    36.12,    0.000,     0.00,     2.43
EVT  20080511, 061455.146635,   -4.690,  -11.031,     6.12,    42.48,    38.13,    0.000,     0.00,     2.06
EVT  20080512, 171918.714824,    7.868,   -6.840,     6.17,    41.60,   278.05,    0.000,     0.00,     1.93
EVT  20080516, 010341.857682,  -10.088,   -5.473,    24.79,    26.35,   179.79,    0.000,     0.00,     6.98
EVT  20080517, 025413.271761,    4.438,  -14.808,     5.55,    42.46,   267.96,    0.000,     0.00,     1.85
EVT  20080511, 054640.553773,    6.651,    0.698,     9.36,    35.33,   293.67,    0.000,     0.00,     2.37
EVT  20080516, 224549.617032,   -4.929,    0.368,    62.42,    17.75,   268.11,    0.000,     0.00,    18.15
EVT  20080512, 030727.136483,    5.116,   12.276,    16.05,    27.35,    32.95,    0.000,     0.00,     4.18
EVT  20080514, 034219.127094,   -2.688,   -9.671,    12.57,     8.16,    32.48,    0.000,     0.00,     2.44
EVT  20080515, 175535.185887,   -2.261,   -5.489,     8.62,    37.63,   139.30,    0.000,     0.00,     2.32
EVT  20080511, 220400.869843,  -11.454,   -5.244,    12.96,    38.84,   136.49,    0.000,     0.00,     4.18
EVT  20080512, 163536.083469,   -7.731,   -1.584,     9.97,    40.99,   182.64,    0.000,     0.00,     3.25
EVT  20080512, 125246.051581,   -2.984,   -7.182,    17.03,    15.07,   217.33,    0.000,     0.00,     3.69
EVT  20080514, 135423.996106,    5.655,  -16.977,     8.65,    38.97,   343.84,    0.000,     0.00,     2.43
EVT  20080517, 135727.900466,   -9.551,   -7.893,    21.47,    38.32,   347.88,    0.000,     0.00,     7.58
EVT  20080512, 043818.020818,   -1.635,    5.706,    12.75,    35.43,   295.95,    0.000,     0.00,     3.57
EVT  20080511, 015120.015870,  -12.021,   -5.902,    64.74,    33.65,   107.35,    0.000,     0.00,    21.40
